qual_a_sua_idade,como_voce_se_identifica,qual_e_a_sua_identidade_de_genero,qual_e_a_sua_sexualidade,qual_o_seu_nivel_de_escolaridade,ha_quanto_tempo_voce_trabalha_em_shopping,em_qual_area_voce_trabalha,quantas_horas_por_semana_voce_trabalha_no_total,voce_tem_outro_trabalho,voce_possui_dependentes_financeiros,sua_residencia_e,qual_a_distancia_de_sua_residencia_ao_seu_lugar_de_trabalho,1_1_em_termos_gerais_a_minha_atividade_profissional_provoca_me,2_1_a_falta_de_possibilidades_de_desenvolvimento_e_promocao_na_c,2_2_atitudes_negativas_relativamente_ao_nosso_trabalho_por_parte,2_3_falta_de_tempo_para_manter_uma_boa_relacao_com_as_pessoas_ma,2_4_conflitos_e_problemas_com_colegas_de_trabalho,2_5_trabalhar_muitas_horas_seguidas,2_6_viver_com_os_recursos_financeiros_salario_de_que_disponho,2_7_falta_de_condicoes_de_trabalho,2_8_incompreensao_face_ao_nosso_trabalho_por_parte_das_pessoas_a,2_9_falta_de_materiais_e_equipamentos_para_realizar_o_meu_trabal,2_10_o_excesso_de_trabalho_e_ou_tarefas_de_carater_burocratico,2_11_ter_de_realizar_muitas_horas_seguidas_de_trabalho,2_12_conflitos_e_problemas_com_superiores_hierarquicos,2_13_cumprir_com_aquilo_que_e_esperado_pelas_pessoas_a_quem_pres,2_14_falta_de_tempo_para_dar_apoio_e_conviver_com_a_minha_famili,2_15_falta_de_perspectivas_de_progressao_na_carreira,2_16_a_sobrecarga_ou_excesso_de_trabalho,2_17_os_conflitos_interpessoais_com_outros_colegas_de_trabalho,2_18_falta_de_meios_e_condicoes_de_trabalho,2_19_salario_inadequado_insuficiente,2_20_a_falta_de_apoio_e_ajuda_por_parte_dos_meus_superiores,2_21_nivel_de_exigencia_das_pessoas_a_quem_presto_os_meus_servic,2_22_comportamentos_incorretos_e_ou_inadequados_de_colegas_de_tr,2_23_falta_de_tempo_para_estar_com_a_familia_amigos,2_24_o_favoritismo_e_ou_discriminacao_encobertos_no_meu_local_de,com_que_frequencia_voce_consegue_passar_tempo_de_qualidade_com_f,com_que_frequencia_voce_tem_acesso_a_atividades_de_lazer_como_le,com_que_frequencia_voce_consegue_praticar_exercicios_fisicos,com_que_frequencia_voce_consegue_ir_ao_medico_para_check_ups_ou_,com_que_frequencia_voce_consegue_dedicar_tempo_aos_estudos,com_que_frequencia_voce_consegue_realizar_as_atividades_domestic,com_que_frequencia_voce_consegue_descansar_o_suficiente_no_seu_c
4,1,1.0,1,,6,1,1,1,2,2,2,1,1.0,1,1,1.0,2,2,1.0,1,1.0,2,2,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2,2,2,2,1,1,2,1,2
1,3,1.0,1,6.0,2,1,6,2,2,2,3,4,2.0,2,4,4.0,4,2,1.0,2,1.0,2,3,4.0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,3.0,4.0,4,4,1,1,1,1,2,1,1
1,1,1.0,2,4.0,2,4,6,2,2,2,2,3,2.0,2,3,,2,2,2.0,2,2.0,2,2,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,1,1,1,2,2,1,1,1,1
1,1,3.0,3,8.0,2,1,5,2,1,2,1,4,0.0,3,4,0.0,3,3,1.0,4,2.0,4,4,4.0,4.0,4.0,0.0,3.0,0.0,0.0,2.0,4.0,4.0,0.0,4,4,1,1,0,1,4,1,0
2,1,1.0,2,6.0,4,1,6,2,2,1,2,3,3.0,4,4,3.0,4,4,3.0,4,4.0,4,4,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4,4,1,1,3,1,1,1,0
1,1,3.0,3,6.0,1,1,1,2,2,1,1,2,1.0,3,0,1.0,1,1,1.0,3,0.0,0,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,0,1,4,3,4,1,4,3,3
1,1,3.0,3,8.0,3,1,1,1,1,2,2,4,2.0,4,0,3.0,2,0,0.0,1,1.0,1,0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,0,4,4,4,4,4,3,4,2
1,1,3.0,3,8.0,3,1,1,2,2,1,1,2,2.0,3,1,2.0,1,4,2.0,2,1.0,1,1,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1,4,1,1,1,1,1,1,1
1,1,1.0,3,8.0,1,1,6,2,2,2,1,2,2.0,2,3,3.0,4,4,3.0,2,3.0,3,4,4.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,4,3,1,1,1,1,1,2,1
1,3,3.0,1,8.0,2,4,3,2,2,1,2,2,3.0,2,2,1.0,2,4,2.0,3,0.0,2,2,1.0,0.0,1.0,3.0,3.0,0.0,2.0,4.0,4.0,2.0,2.0,1,0,3,2,4,0,2,1,3
3,3,1.0,1,4.0,1,4,6,1,2,1,4,3,2.0,1,3,3.0,3,1,3.0,2,4.0,3,2,3.0,1.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,3.0,4,1,0,1,1,0,1,1,1
3,1,3.0,1,,4,1,4,2,1,2,4,2,0.0,2,2,1.0,3,2,0.0,1,0.0,2,3,2.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,1.0,2.0,3.0,2,0,2,2,4,3,2,2,1
3,3,3.0,1,7.0,6,1,6,2,1,2,5,2,2.0,3,3,3.0,4,3,2.0,2,2.0,1,3,1.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,3,1,1,1,3,2,2,1,1
1,1,1.0,1,8.0,1,4,2,2,2,1,2,2,3.0,3,4,2.0,3,3,3.0,4,4.0,4,4,3.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4,4,3,3,3,3,3,3,3
2,1,1.0,3,8.0,2,1,4,2,2,2,3,2,2.0,2,2,2.0,3,3,1.0,3,0.0,2,3,1.0,2.0,2.0,2.0,2.0,0.0,1.0,3.0,1.0,2.0,1.0,1,1,2,2,2,1,3,2,2
1,2,3.0,1,4.0,3,4,4,2,1,2,3,3,3.0,4,4,2.0,2,3,3.0,3,2.0,3,3,2.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4,2,1,1,1,1,0,2,1
3,3,3.0,1,7.0,3,1,6,2,2,1,4,2,3.0,3,3,2.0,2,2,2.0,2,2.0,2,2,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,1,1,3,1,2,1,1
1,3,6.0,3,6.0,1,1,5,2,1,2,5,2,1.0,1,1,0.0,2,2,2.0,0,0.0,1,1,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,1,1,2,3,4,2,2,2,2
2,1,1.0,2,8.0,1,1,5,2,2,2,3,3,1.0,3,3,1.0,3,2,2.0,3,2.0,2,3,2.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,3,2,1,1,1,2,1,1,1
2,1,1.0,1,6.0,3,4,6,1,1,2,2,4,4.0,4,4,4.0,4,4,4.0,4,4.0,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,1,1,4,0,1,0,0
1,3,3.0,1,4.0,2,1,5,2,1,1,2,3,2.0,3,2,0.0,3,2,4.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2,0,2,2,3,3,3,4,4
2,1,3.0,1,4.0,4,1,6,2,1,1,5,3,2.0,2,2,1.0,2,2,0.0,0,0.0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,3,0,3,3,3,3
1,3,3.0,1,8.0,1,4,6,2,2,1,3,4,4.0,4,4,1.0,4,2,2.0,4,4.0,4,4,1.0,4.0,4.0,4.0,4.0,0.0,2.0,4.0,4.0,4.0,2.0,4,4,0,0,1,0,1,0,0
1,2,3.0,1,2.0,1,1,5,2,1,2,3,3,1.0,2,3,2.0,3,2,2.0,2,1.0,3,3,2.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,,4,0,1,1,0,0,0,2,1
1,3,3.0,1,8.0,1,1,6,2,2,1,3,2,4.0,2,4,1.0,4,4,2.0,2,1.0,0,2,2.0,0.0,4.0,4.0,4.0,1.0,2.0,4.0,2.0,1.0,4.0,4,0,2,1,0,1,1,1,0
1,2,3.0,1,4.0,3,1,5,2,2,1,4,2,2.0,3,4,0.0,3,4,2.0,4,0.0,2,4,1.0,0.0,4.0,2.0,4.0,0.0,0.0,3.0,1.0,2.0,0.0,4,1,1,1,1,1,0,2,1
1,3,3.0,1,7.0,1,1,5,2,2,2,3,3,,3,1,1.0,2,4,3.0,3,2.0,3,2,4.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1,1,2,4,2,1,2,1,2
3,3,1.0,2,7.0,3,1,6,2,2,1,1,4,3.0,2,4,1.0,3,4,3.0,2,2.0,2,4,1.0,2.0,4.0,3.0,4.0,1.0,2.0,4.0,1.0,4.0,1.0,4,0,1,1,2,1,0,2,2
1,3,3.0,3,4.0,1,1,5,2,2,1,3,3,3.0,3,3,0.0,3,3,2.0,3,4.0,3,3,4.0,1.0,3.0,3.0,3.0,0.0,2.0,3.0,4.0,4.0,1.0,2,0,1,1,2,1,1,1,1
2,3,3.0,1,4.0,4,1,6,2,1,2,4,3,1.0,2,3,4.0,2,1,0.0,3,1.0,2,2,2.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3,1,1,1,2,0,0,1,1
3,1,3.0,1,4.0,1,1,6,2,1,1,5,3,2.0,3,4,1.0,2,3,3.0,3,2.0,2,3,1.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,0.0,4,3,0,0,0,0,0,1,0
2,3,1.0,1,7.0,1,1,6,2,1,1,4,2,3.0,1,4,1.0,3,4,2.0,3,1.0,1,2,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3,2,1,1,0,0,3,2,2
3,1,3.0,1,6.0,5,1,5,2,1,2,3,3,2.0,4,2,2.0,3,2,1.0,3,2.0,4,3,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,3,2,2,3,2,1,0,2,2
1,3,1.0,1,4.0,1,4,6,2,2,2,1,2,3.0,1,3,4.0,1,2,1.0,2,1.0,2,1,0.0,0.0,3.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,3.0,3,2,2,2,2,0,0,1,1
4,3,3.0,1,7.0,1,1,6,2,1,1,3,2,,3,3,3.0,3,3,3.0,3,4.0,3,3,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3,3,0,1,3,1,1,1,0
3,2,3.0,1,8.0,4,1,6,2,1,1,3,4,3.0,4,4,4.0,3,3,4.0,4,2.0,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,1,1,1,0,1,1,0
1,3,6.0,1,4.0,2,3,6,2,2,2,2,1,1.0,1,1,1.0,1,1,1.0,1,1.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,3,4,4,4,4,4,4
4,3,3.0,1,7.0,3,1,6,2,1,1,4,2,2.0,2,1,1.0,2,3,2.0,2,2.0,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2,2,2,2,1,1,1,2,1
2,3,3.0,1,7.0,1,1,5,2,1,1,2,2,1.0,3,3,4.0,3,2,2.0,1,1.0,1,2,2.0,2.0,3.0,4.0,3.0,2.0,,,2.0,2.0,2.0,4,2,1,1,0,0,1,1,2
3,1,3.0,1,4.0,2,1,2,2,2,1,2,3,2.0,2,2,2.0,1,2,2.0,2,3.0,1,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2,1,1,1,1,1,1,1,1
2,3,3.0,1,4.0,1,1,5,2,1,1,2,2,2.0,3,4,1.0,3,3,3.0,2,2.0,2,4,4.0,0.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,4.0,4,4,1,1,1,1,1,1,1
2,3,3.0,1,4.0,4,1,6,2,1,1,3,2,3.0,2,3,1.0,3,3,3.0,2,3.0,3,3,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3,3,1,1,1,1,1,2,1
1,3,3.0,1,4.0,2,1,5,2,1,1,3,3,2.0,3,3,3.0,3,2,3.0,3,3.0,3,3,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3,3,2,1,2,1,0,2,2
1,1,2.0,3,8.0,1,1,6,2,2,2,2,3,2.0,3,4,2.0,4,4,2.0,3,4.0,4,4,1.0,4.0,4.0,3.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,4,4,1,1,0,0,2,2,1
1,1,3.0,3,6.0,1,1,5,2,2,1,5,3,3.0,3,4,1.0,4,4,0.0,1,1.0,1,2,3.0,3.0,3.0,4.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,2,4,1,2,0,0,2,2,0
1,1,1.0,2,8.0,2,1,1,2,2,2,1,3,3.0,3,2,0.0,2,3,3.0,2,3.0,2,2,1.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,2,0,3,2,1,0,2,1,1
1,3,1.0,4,8.0,1,4,3,1,2,2,1,1,2.0,2,1,1.0,2,3,1.0,1,2.0,2,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0,0,3,3,3,2,3,3,3
1,2,,4,6.0,2,1,6,2,2,1,2,3,2.0,4,3,0.0,4,4,0.0,2,2.0,3,4,0.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,4.0,0.0,4,4,2,1,0,2,2,2,2
2,3,3.0,1,,1,1,6,2,2,1,5,3,3.0,3,3,0.0,3,3,3.0,3,3.0,3,3,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3,3,1,1,2,0,1,1,1
3,2,3.0,1,6.0,3,1,5,2,2,1,3,3,3.0,2,3,1.0,3,3,1.0,2,1.0,2,3,1.0,1.0,3.0,3.0,4.0,1.0,1.0,4.0,0.0,2.0,1.0,3,1,1,2,2,1,1,2,1
1,1,3.0,1,8.0,2,1,5,2,2,2,5,2,3.0,3,2,0.0,3,4,0.0,3,0.0,2,3,1.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,2.0,2.0,1.0,2,0,4,3,4,4,4,2,2
1,3,1.0,1,4.0,2,3,5,1,2,2,3,3,3.0,4,2,1.0,2,3,1.0,4,1.0,2,1,1.0,2.0,3.0,4.0,2.0,1.0,1.0,4.0,2.0,4.0,1.0,3,1,2,1,1,1,2,1,1
2,1,3.0,1,7.0,4,1,6,2,2,1,3,2,4.0,2,2,1.0,4,3,0.0,2,0.0,0,4,2.0,0.0,2.0,4.0,2.0,0.0,0.0,3.0,4.0,2.0,0.0,1,0,2,2,1,2,2,1,1
4,3,3.0,3,4.0,5,1,5,2,1,2,5,2,2.0,2,2,1.0,1,1,0.0,1,1.0,1,1,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0,1,1,1,1,1,1,1,1
1,3,3.0,2,4.0,2,4,4,2,2,1,4,2,1.0,3,2,0.0,1,3,2.0,3,0.0,2,2,4.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1,2,3,3,1,0,0,3,2
1,2,3.0,1,8.0,3,1,5,2,1,1,1,1,0.0,1,1,1.0,1,1,0.0,1,0.0,1,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1,0,3,2,1,3,2,2,1
2,1,3.0,3,4.0,3,1,4,2,1,1,2,1,0.0,2,1,0.0,0,3,2.0,1,1.0,0,0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1,0,2,3,1,1,1,4,2
1,3,3.0,1,4.0,1,1,5,2,2,2,4,0,0.0,0,1,0.0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2,2,3,2,2,2
3,3,3.0,1,6.0,5,1,5,2,1,2,2,1,0.0,1,1,0.0,1,1,0.0,0,0.0,0,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1,2,2,2,4,1,2,2,1
1,3,3.0,1,4.0,1,1,1,2,2,2,2,1,2.0,1,0,0.0,0,1,0.0,1,1.0,0,1,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,2,0,0,1,0,1,1
3,3,3.0,3,4.0,1,4,6,2,2,1,5,1,1.0,0,3,0.0,1,1,0.0,0,0.0,0,0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,3,3,1,2,1,4,3
4,3,3.0,5,7.0,6,1,6,2,1,2,5,3,2.0,2,2,1.0,3,3,2.0,2,3.0,3,3,4.0,4.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,2.0,0.0,3,0,3,1,0,1,2,1,1
1,3,3.0,1,4.0,1,1,6,2,2,1,1,2,1.0,2,1,2.0,3,1,1.0,2,0.0,2,2,0.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,3,0,1,1,1,1,1,2,0
2,3,3.0,1,8.0,4,1,6,2,2,2,4,1,2.0,0,0,0.0,2,2,0.0,0,0.0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,4,4,4,4,4,4,4
3,3,3.0,1,2.0,6,1,6,2,1,2,5,1,1.0,1,4,1.0,2,3,0.0,0,0.0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,0,3,1,0,2,1,4,3
4,3,1.0,2,4.0,6,1,5,2,2,2,3,2,2.0,2,2,2.0,0,0,0.0,0,0.0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,3,0,2,1,3,3,3
3,3,3.0,1,4.0,2,1,5,2,1,1,3,2,2.0,1,2,1.0,1,3,0.0,1,0.0,1,1,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3,1,1,2,1,1,0,4,1
1,4,3.0,1,8.0,3,1,5,2,2,1,5,4,4.0,3,3,3.0,3,3,3.0,3,3.0,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3,3,4,4,0,1,0,1,1
1,3,3.0,1,4.0,1,1,5,2,2,1,5,4,4.0,4,2,4.0,4,4,4.0,4,4.0,3,3,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4,3,2,1,1,1,1,2,2
2,1,1.0,2,6.0,1,1,6,2,2,1,3,2,4.0,3,1,1.0,3,4,2.0,2,4.0,3,3,2.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,2.0,3.0,2.0,1,2,2,2,1,2,1,2,2
1,3,3.0,3,8.0,3,1,5,2,2,1,4,2,2.0,4,4,0.0,3,2,0.0,0,0.0,1,2,0.0,3.0,4.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4,0,1,2,0,1,1,1,1
4,3,3.0,1,7.0,6,1,5,2,2,2,4,1,4.0,3,4,2.0,1,4,0.0,1,0.0,1,4,3.0,,,,,,,,,,,3,4,0,0,0,0,1,1,1
1,2,3.0,1,4.0,4,1,6,2,1,2,3,2,4.0,3,3,1.0,3,2,3.0,3,1.0,2,3,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,3,2,2,1,3,4,1,2,1
3,3,3.0,2,3.0,6,1,5,2,1,2,4,1,2.0,0,1,0.0,1,0,2.0,1,3.0,1,1,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1,2,4,4,4,2,1,4,3
3,3,1.0,1,4.0,5,1,5,2,1,1,1,2,2.0,3,1,2.0,2,2,2.0,1,2.0,2,3,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2,2,3,3,4,3,2,3,4
3,2,3.0,1,4.0,5,1,6,2,1,1,2,3,3.0,4,4,2.0,3,4,3.0,4,2.0,2,4,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,4,2,1,2,4,2,1,2,1
1,3,1.0,2,8.0,3,1,5,2,2,1,5,3,2.0,3,3,1.0,4,1,1.0,3,0.0,2,4,4.0,3.0,4.0,3.0,4.0,1.0,1.0,4.0,3.0,4.0,3.0,4,4,1,1,1,1,1,2,1
2,1,1.0,1,8.0,4,1,6,2,2,2,4,2,3.0,3,2,0.0,2,2,3.0,3,4.0,1,2,3.0,1.0,2.0,3.0,2.0,0.0,1.0,2.0,4.0,2.0,0.0,2,0,1,3,4,1,3,3,2
2,3,3.0,3,4.0,3,1,2,1,1,2,1,2,2.0,1,0,1.0,2,1,0.0,0,0.0,0,2,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1,1,1,1,1,0,2,1
3,3,3.0,1,3.0,1,1,1,2,1,1,4,1,1.0,1,0,0.0,2,1,1.0,1,2.0,1,2,3.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,0.0,2.0,0,2,3,2,1,1,0,4,3
3,1,3.0,1,4.0,4,1,5,1,2,1,5,2,1.0,2,2,1.0,3,2,1.0,3,0.0,2,3,1.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,2,3,2,2,1,1,1,2,1
3,3,3.0,1,6.0,4,1,6,2,2,2,1,3,1.0,3,4,2.0,4,4,3.0,4,3.0,2,4,2.0,1.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4,4,1,1,4,0,0,2,0
2,3,3.0,1,6.0,3,1,6,2,2,2,1,2,3.0,4,3,1.0,2,4,0.0,4,1.0,2,3,2.0,1.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,3.0,2.0,3,3,3,2,1,2,2,2,3
3,3,1.0,1,4.0,4,1,6,2,2,1,1,2,2.0,2,4,2.0,3,3,1.0,2,1.0,0,2,1.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,4,0,3,3,3,2,1,2,1
